cvegeo,ids,area_km2,densidad_pob,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
9.003E+11,0.9423,0.765137719,1.231542998,0.93336797,0.06663203,Muy alto,5,1,3263,1142,0.349984677,0.304657938
090030001093A,0.9812,0.159864674,6.1376912,0.983894012,0.016105988,Muy alto,5,1,1179,166,0.140797286,0.080883533
9.003E+11,0.7225,0.13750298,5.254431591,0.647876348,0.352123652,Bajo,2,0.25,4207,3602,0.856192061,0.846164074
9.003E+11,0.7731,0.616487614,1.254039794,0.713599169,0.286400831,Bajo,2,0.25,6376,5006,0.785131744,0.770148594
9.003E+11,0.7408,0.371918647,1.991833445,0.671645668,0.328354332,Bajo,2,0.25,7995,6589,0.824140088,0.811877059
9.003E+11,0.7873,0.350042349,2.249156433,0.732043122,0.267956878,Medio,3,0.5,6486,4843,0.746685168,0.729021069
9.003E+11,0.7762,0.427247647,1.816744936,0.717625666,0.282374334,Bajo,2,0.25,9301,7077,0.760885926,0.744212071
9.003E+11,0.7471,0.29370195,2.543735237,0.679828549,0.320171451,Bajo,2,0.25,6465,5149,0.796442382,0.782247943
9.003E+11,0.7318,0.217333482,3.367175611,0.659955838,0.340044162,Bajo,2,0.25,6545,5493,0.839266616,0.828058387
9.003E+11,0.9076,0.283659785,3.199607581,0.888297181,0.111702819,Alto,4,0.75,4351,1898,0.436221558,0.396908272
9.003E+11,0.9693,0.173615235,5.583035376,0.968437459,0.031562541,Muy alto,5,1,1600,327,0.204375,0.148894636
9.003E+11,0.951,0.17105787,5.559522042,0.944668139,0.055331861,Muy alto,5,1,1588,465,0.292821159,0.243508305
9.003E+11,0.9692,0.737659314,1.313885667,0.968307572,0.031692428,Muy alto,5,1,5177,1117,0.215762024,0.161075698
9.003E+11,0.9851,1.494850772,0.658995546,0.988959605,0.011040395,Muy alto,5,1,2603,309,0.118709182,0.057255186
9.003E+11,0.7902,1.192178282,0.662820328,0.735809845,0.264190155,Medio,3,0.5,5562,3711,0.667206041,0.643999719
9.003E+11,0.9473,0.076767896,12.33979366,0.93986232,0.06013768,Muy alto,5,1,687,213,0.310043668,0.261931771
9.003E+11,0.9675,0.052030615,18.59482138,0.966099493,0.033900507,Muy alto,5,1,536,122,0.22761194,0.17375193
9.003E+11,0.7875,0.364645222,2.1596334,0.732302896,0.267697104,Medio,3,0.5,8791,6487,0.737913775,0.719638031
9.003E+11,0.7661,0.510641179,1.500270702,0.704507079,0.295492921,Bajo,2,0.25,13908,11011,0.791702617,0.777177666
9.003E+11,0.9248,0.34123211,2.710178712,0.910637745,0.089362255,Alto,4,0.75,4083,1711,0.419054617,0.378544249
9.003E+11,0.9279,0.404309449,2.295024277,0.914664242,0.085335758,Alto,4,0.75,5632,2218,0.393821023,0.351551071
9.003E+11,0.7586,0.066077039,11.4805386,0.694765554,0.305234446,Bajo,2,0.25,2253,1636,0.726142921,0.707046373
9.003E+11,0.8887,0.297034473,2.991908617,0.863748539,0.136251461,Alto,4,0.75,2949,1280,0.434045439,0.394580408
9.003E+11,0.901,0.23394811,3.85128138,0.87972464,0.12027536,Alto,4,0.75,4962,2385,0.480652963,0.444437958
9.003E+11,0.9213,0.106098104,8.683472807,0.9060917,0.0939083,Alto,4,0.75,2292,951,0.414921466,0.374122886
